n,repetition,seed,method,dimension,runtime_seconds,status,error,timing_scope
800,2,21160921,EOT,50,25.550745632965118,SUCCESS,,evaluate_only
800,2,21160921,FDFI,50,73.64512317907065,SUCCESS,,evaluate_only
800,2,21160921,SHAP,10,1539.764932794962,SUCCESS,,evaluate_only
1000,2,21160921,CPI,50,162.7404409139417,SUCCESS,,evaluate_only
1000,2,21160921,LOCO,50,97.77725189505145,SUCCESS,,evaluate_only
1000,2,21160921,nLOCO,50,196.50940010510385,SUCCESS,,evaluate_only
1000,2,21160921,dLOCO,50,392.83074155729264,SUCCESS,,evaluate_only
1000,2,21160921,OT,50,34.57544998265803,SUCCESS,,evaluate_only
1000,2,21160921,EOT,50,34.532869092188776,SUCCESS,,evaluate_only
1000,2,21160921,FDFI,50,97.37399062886834,SUCCESS,,evaluate_only
1000,2,21160921,SHAP,10,1629.64967462793,SUCCESS,,evaluate_only
200,3,21161021,CPI,50,89.49853655183688,SUCCESS,,evaluate_only
200,3,21161021,LOCO,50,100.79886445496231,SUCCESS,,evaluate_only
200,3,21161021,nLOCO,50,206.06011763820425,SUCCESS,,evaluate_only
200,3,21161021,dLOCO,50,122.47941038291901,SUCCESS,,evaluate_only
200,3,21161021,OT,50,7.631450233981013,SUCCESS,,evaluate_only
200,3,21161021,EOT,50,6.747351080644876,SUCCESS,,evaluate_only
200,3,21161021,FDFI,50,26.866833444219083,SUCCESS,,evaluate_only
200,3,21161021,SHAP,10,1454.0794463581406,SUCCESS,,evaluate_only
400,3,21161021,CPI,50,105.29849608056247,SUCCESS,,evaluate_only
400,3,21161021,LOCO,50,104.29241767385975,SUCCESS,,evaluate_only
400,3,21161021,nLOCO,50,213.0378139638342,SUCCESS,,evaluate_only
400,3,21161021,dLOCO,50,163.32568630203605,SUCCESS,,evaluate_only
400,3,21161021,OT,50,12.831391317769885,SUCCESS,,evaluate_only
400,3,21161021,EOT,50,10.99012233223766,SUCCESS,,evaluate_only
400,3,21161021,FDFI,50,44.648575187660754,SUCCESS,,evaluate_only
400,3,21161021,SHAP,10,1513.5482240058482,SUCCESS,,evaluate_only
600,3,21161021,CPI,50,122.86857639905065,SUCCESS,,evaluate_only
600,3,21161021,LOCO,50,97.48320309072733,SUCCESS,,evaluate_only
600,3,21161021,nLOCO,50,204.16356798168272,SUCCESS,,evaluate_only
600,3,21161021,dLOCO,50,235.93643815396354,SUCCESS,,evaluate_only
600,3,21161021,OT,50,19.332554052118212,SUCCESS,,evaluate_only
600,3,21161021,EOT,50,18.25447897426784,SUCCESS,,evaluate_only
600,3,21161021,FDFI,50,58.17120489384979,SUCCESS,,evaluate_only
600,3,21161021,SHAP,10,1474.1011597472243,SUCCESS,,evaluate_only
800,3,21161021,CPI,50,143.56658277614042,SUCCESS,,evaluate_only
800,3,21161021,LOCO,50,96.39581192703918,SUCCESS,,evaluate_only
800,3,21161021,nLOCO,50,205.9235151000321,SUCCESS,,evaluate_only
800,3,21161021,dLOCO,50,319.3001207872294,SUCCESS,,evaluate_only
800,3,21161021,OT,50,25.58805191423744,SUCCESS,,evaluate_only
800,3,21161021,EOT,50,25.589414563961327,SUCCESS,,evaluate_only
800,3,21161021,FDFI,50,72.65396219212562,SUCCESS,,evaluate_only
800,3,21161021,SHAP,10,1517.7652109889314,SUCCESS,,evaluate_only
1000,3,21161021,CPI,50,162.48917083116248,SUCCESS,,evaluate_only
1000,3,21161021,LOCO,50,95.48292378801852,SUCCESS,,evaluate_only
1000,3,21161021,nLOCO,50,200.8162421649322,SUCCESS,,evaluate_only
1000,3,21161021,dLOCO,50,384.3007844653912,SUCCESS,,evaluate_only
